Price,Close,High,Low,Open,Volume
Ticker,INFY.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS
Date,,,,,
2022-05-31,1404.7608642578125,1418.2143033837006,1390.326515286447,1411.3941231047504,16033857
2022-06-01,1381.3575439453125,1415.1778909003274,1375.3314663437072,1413.5429271709493,8738508
2022-06-02,1408.87158203125,1414.337009324754,1378.6013740378207,1386.4492226355271,7205840
2022-06-03,1421.6710205078125,1452.7820909681764,1418.2142855882262,1424.660736968286,9395707
2022-06-06,1429.4722900390625,1435.5916577089301,1394.8577242051128,1416.3458204252854,6624883
2022-06-07,1407.6571044921875,1419.9427127025706,1403.826640598364,1419.9427127025706,4904592
2022-06-08,1401.3975830078125,1420.2696915072402,1393.923462565104,1420.2696915072402,4697608
2022-06-09,1415.411376953125,1417.2331479585212,1384.1135016211583,1387.3834288946473,4361061
2022-06-10,1379.7225341796875,1395.7450869561649,1376.7328178895402,1388.4111298525793,6516436
2022-06-13,1330.8604736328125,1348.7049120706336,1318.9018361839383,1348.7049120706336,6987685
2022-06-14,1345.85546875,1353.656558559691,1310.9139355280222,1317.313627861265,6090247
2022-06-15,1328.7117919921875,1351.3210760506447,1325.582026687208,1345.5285639490085,4651958
2022-06-16,1305.35498046875,1348.8450607739285,1300.496848205928,1343.4730371552619,6641772
2022-06-17,1296.10595703125,1305.1215235794307,1277.280493354915,1299.6094509891525,9692047
2022-06-20,1321.19091796875,1328.8518456136492,1291.1542743771815,1298.6751535040837,4595194
2022-06-21,1354.5909423828125,1360.2899364778064,1329.225623024587,1330.393454357415,6270787
2022-06-22,1342.7723388671875,1363.6531383044141,1340.6702426678826,1341.651266512632,6253366
2022-06-23,1356.9732666015625,1362.1584834016473,1338.8018564571746,1345.1549046044834,6254281
2022-06-24,1346.3692626953125,1371.0338813946832,1334.9712753644767,1362.1583639342066,6114340
2022-06-27,1377.6669921875,1386.4491050149907,1368.838234542836,1371.5476255491692,4511097
